   1.00000005E-03   3.17479443E-35
   2.00000009E-03   4.37229796E-32
   3.00000003E-03   1.41221963E-30
   4.00000019E-03   1.24672058E-29
   4.99999989E-03   5.82294206E-29
   6.00000005E-03   1.87740831E-28
   7.00000022E-03   4.76542091E-28
   8.00000038E-03   1.02513572E-27
   8.99999961E-03   1.95515766E-27
   9.99999978E-03   3.40468399E-27
   1.09999999E-02   5.52346770E-27
   1.20000001E-02   8.46864600E-27
   1.30000003E-02   1.24010806E-26
   1.40000004E-02   1.74822485E-26
   1.49999997E-02   2.38718739E-26
   1.60000008E-02   3.17261182E-26
   1.79999992E-02   5.24264262E-26
   1.99999996E-02   8.07154035E-26
   2.50000004E-02   1.91026723E-25
   2.99999993E-02   3.67508060E-25
   3.99999991E-02   9.49917706E-25
   5.00000007E-02   1.86182573E-24
   5.99999987E-02   3.10768342E-24
   7.00000003E-02   4.67734721E-24
   7.99999982E-02   6.55406663E-24
   9.00000036E-02   8.71858223E-24
  0.100000001       1.11512644E-23
  0.109999999       1.38331256E-23
  0.119999997       1.67462911E-23
  0.129999995       1.98742287E-23
  0.140000001       2.32017166E-23
  0.150000006       2.67148976E-23
  0.159999996       3.04010900E-23
  0.180000007       3.82472615E-23
  0.200000003       4.66593870E-23
  0.250000000       6.97489860E-23
  0.300000012       9.51844238E-23
  0.349999994       1.22427464E-22
  0.400000006       1.51100425E-22
  0.449999988       1.80929338E-22
  0.500000000       2.11709113E-22
  0.600000024       2.75527834E-22
  0.699999988       3.41660177E-22
  0.800000012       4.09526474E-22
  0.899999976       4.78731183E-22
   1.00000000       5.48994784E-22
   1.25000000       7.28068027E-22
   1.50000000       9.10554299E-22
   1.75000000       1.09534374E-21
   2.00000000       1.28178916E-21
   2.50000000       1.65817542E-21
   3.00000000       2.03786849E-21
   3.50000000       2.41999221E-21
   4.00000000       2.80408634E-21
   5.00000000       3.57723788E-21
   6.00000000       4.35620291E-21
   7.00000000       5.14046464E-21
   8.00000000       5.92972540E-21
   9.00000000       6.72377032E-21
   10.0000000       7.52242088E-21
